,Name,Place_ID,Latitude,Longitude,Rating,Total Reviews
0,Aloft Cleveland Downtown,ChIJ-V-1mmLwMIgRCNkQ5iY0w6w,41.5005708,-81.7041148,4.2,1062
1,"Metropolitan at the 9, Autograph Collection",ChIJE6DsqoD6MIgRheks77AlZ9w,41.49978790000001,-81.6858092,4.5,983
2,Renaissance Cleveland Hotel,ChIJQdJiRX7wMIgRMHYixWs56JQ,41.4986106,-81.6944717,4.1,1095
3,The Tudor Arms Hotel Cleveland - a DoubleTree by Hilton,ChIJM5WTlIT7MIgRZXbXABw3OQw,41.5008156,-81.6129579,4.3,871
4,Holiday Inn Express Cleveland Downtown,ChIJ8b9IeID6MIgRg7cfACiPh8I,41.5001855,-81.688767,4.3,913
5,Hilton Cleveland Downtown,ChIJ9WAy2YDwMIgRqgktebGbYoM,41.5030718,-81.6956723,4.6,2152
6,DoubleTree by Hilton Hotel Cleveland Downtown - Lakeside,ChIJkyQK63j6MIgR3WshTHAP94Q,41.50701,-81.6901721,4.1,1508
7,Hilton Garden Inn Cleveland Downtown,ChIJtxcBOYb6MIgRW5MU3e2Lqew,41.4961516,-81.6811465,4.1,1094
8,The Westin Cleveland Downtown,ChIJjQ5B2YHwMIgRjNnpAsJKuBg,41.5037247,-81.69141259999999,4.4,1726
9,Drury Plaza Hotel Cleveland Downtown,ChIJz9VrMIDwMIgRU4dHrxBVI1k,41.5021743,-81.69196860000001,4.6,1057
10,Courtyard by Marriott Cleveland University Circle,ChIJ0bg0mIn7MIgRdLO0rIQ4ndc,41.5079608,-81.6052619,4.3,451
11,Holiday Inn Cleveland Clinic,ChIJx3A1jKL7MIgRQwfzeK-X6Mc,41.5030267,-81.6263701,4.2,794
12,Cleveland Marriott Downtown at Key Tower,ChIJlzqOKX7wMIgRcG1mp3KKt8s,41.5016194,-81.6939388,4.3,1381
13,InterContinental Suites Hotel Cleveland,ChIJs9bne5j7MIgRK7gn3Ut37mE,41.5030649,-81.6252999,4.3,427
14,Hampton Inn Cleveland-Downtown,ChIJewgGqX_6MIgRVI5s1kAUzyk,41.502438,-81.689041,4.2,890
15,Residence Inn by Marriott Cleveland Downtown,ChIJY8UhA2L6MIgRjU4eiYtqbnM,41.4987104,-81.6890219,4.4,466
16,"The Ritz-Carlton, Cleveland",ChIJ6fFs8X7wMIgR2muORRtGlpc,41.4973165,-81.6944019,4.5,416
17,InterContinental Cleveland,ChIJm_rT55v7MIgRkVJ4n5CNiOE,41.5014493,-81.6193432,4.4,694
18,Kimpton Schofield Hotel,ChIJowjHoID6MIgRYkqUBQC5bmk,41.499811,-81.686762,4.5,536
19,Hyatt Regency Cleveland At The Arcade,ChIJU79i-X_6MIgRgAo4Y1a36zw,41.499789,-81.6908413,4.4,1302
20,University Hotel and Suites,ChIJc3VeZFn6MIgRDfZmd6I8NQo,41.5026862,-81.6619004,2.8,591
21,Glidden House,ChIJv1Qamov7MIgRAUiBRQkU2-A,41.5109436,-81.607877,4.6,340
22,Crowne Plaza Cleveland at Playhouse Square,ChIJp252m336MIgRX9QDJIGuKFU,41.5004615,-81.6833738,4.2,510
